Artificial intelligence,,,,,,,,,,,,,,,,
Model yutao,,TP,FP,Precision,,Model fang,,TP,FP,Precision,,Model yong,,TP,FP,Precision
[  ] artificial intelligence,1,1,0,1,,[  ] artificial intelligence,1,1,0,1,,[  ] artificial intelligence,1,1,0,1
[  ] possibility theory,1,2,0,1,,[  ] natural language processing,1,2,0,1,,[  ] neural network,1,2,0,1
[  ] fuzzy set,1,3,0,1,,[  ] machine learning,1,3,0,1,,[  ] expert system,1,3,0,1
[  ] mass spectrometry,0,3,1,0.75,,[  ] self-driving,1,4,0,1,,[  ] genetic algorithm,1,4,0,1
[  ] knowledge base,1,4,1,0.8,,[  ] knowledge reasoning,1,5,0,1,,[  ] artificial neural network,1,5,0,1
[  ] information system,1,5,1,0.833333333,,[  ] planning,1,6,0,1,,[  ] multi agent systems,1,6,0,1
[  ] expert system,1,6,1,0.857142857,,[  ] computer vision,1,7,0,1,,[  ] data mining,1,7,0,1
[  ] knowledge representation,1,7,1,0.875,,[  ] game theory,1,8,0,1,,[  ] computer engineering,0,7,1,0.875
[  ] electron impact,0,7,2,0.777777778,,[  ] agent,1,9,0,1,,[  ] knowledge based systems,1,8,1,0.888888889
[  ] fuzzy logic,1,8,2,0.8,,[  ] data mining,1,10,0,1,,[  ] support vector machine,1,9,1,0.9
[  ] software systems,0,8,3,0.727272727,,[  ] expert system,1,11,0,1,,[  ] neural nets,1,10,1,0.909090909
[  ] possibilistic logic,0,8,4,0.666666667,,[  ] cognitive science,0,11,1,0.916666667,,[  ] fuzzy logic,1,11,1,0.916666667
[  ] software engineering,0,8,5,0.615384615,,[  ] computational linguistics,1,12,1,0.923076923,,[  ] case base reasoning,0,11,2,0.846153846
[  ] fuzzy set theory,1,9,5,0.642857143,,[  ] knowledge representation,1,13,1,0.928571429,,[  ] knowledge base,1,12,2,0.857142857
[  ] mass spectra,0,9,6,0.6,,[  ] artificial life,1,14,1,0.933333333,,[  ] computer science,0,12,3,0.8
[  ] molecular structure,0,9,7,0.5625,,[  ] ubiquitous computing,0,14,2,0.875,,[  ] intelligent agent,1,13,3,0.8125
[  ] requirement engineering,0,9,8,0.529411765,,[  ] cybernetics,0,14,3,0.823529412,,[  ] control systems,1,14,3,0.823529412
[  ] knowledge based system,1,10,8,0.555555556,,[  ] multi agent system,1,15,3,0.833333333,,[  ] machine learning,1,15,3,0.833333333
[  ] magnetic circular dichroism,0,10,9,0.526315789,,[  ] robotics,1,16,3,0.842105263,,[  ] evolutionary computation,1,16,3,0.842105263
[  ] marine invertebrate,0,10,10,0.5,,[  ] logic programming,1,17,3,0.85,,[  ] knowledge representation,1,17,3,0.85
[  ] computer science,0,10,11,0.476190476,,[  ] deep learning,1,18,3,0.857142857,,[  ] pattern recognition,1,18,3,0.857142857
[  ] computer programming,0,10,12,0.454545455,,[  ] fuzzy logic,1,19,3,0.863636364,,[  ] computational modeling,1,19,3,0.863636364
[  ] information retrieval,1,11,12,0.47826087,,[  ] mechatronics,0,19,4,0.826086957,,[  ] mobile robots,1,20,3,0.869565217
[  ] programming languages,0,11,13,0.458333333,,[  ] artificial neural network,1,20,4,0.833333333,,[  ] intelligent systems,1,21,3,0.875
