field:ID,label_en,label_zh,label_en_display,:LABEL
nsfc0,nsfc  classification,nsfc_分类,nsfc_ classification,nsfc
nsfc1,department of mathematical science,数理科学部,Department of Mathematical Science,nsfc
nsfc2,mathematics,数学,mathematics,nsfc
nsfc3,number theory,数论,number theory,nsfc
nsfc4,analytic number theory,解析数论,Analytic number theory,nsfc
nsfc5,algebraic number theory,代数数论,Algebraic number theory,nsfc
nsfc6,application of number theory,数论应用,Application of number theory,nsfc
nsfc7,algebra,代数学,Algebra,nsfc
nsfc8,group and its representation,群及其表示,Group and its representation,nsfc
nsfc9,lie groups and lie algebras,李群与李代数,Lie groups and Lie Algebras,nsfc
nsfc10,algebraic groups and subgroups,代数群与枝子群,Algebraic groups and subgroups,nsfc
nsfc11,homology and k theory,同调与K理论,Homology and K theory,nsfc
nsfc12,rings and algebras,环与代数,Rings and algebras,nsfc
nsfc13,code and password,编码与密码,Code and password,nsfc
nsfc14,what is algebra,代数儿何,What is algebra,nsfc
nsfc15,geometry,几何学,geometry,nsfc
nsfc16,global differential geometry,整体微分几何,Global differential geometry,nsfc
nsfc17,complex geometry and algebra,复几何与代数儿何,Complex geometry and algebra,nsfc
nsfc18,geometric analysis,几何分析,Geometric analysis,nsfc
nsfc19,topology,拓扑学,topology,nsfc
nsfc20,algebraic topology and differential topology,代数拓扑与微分拓扑,Algebraic topology and differential topology,nsfc
nsfc21,topologies on low dimensional manifolds,低维流形上的拓扑,Topologies on low dimensional manifolds,nsfc
nsfc22,general topology,一般拓扑学,General topology,nsfc
nsfc23,function theory,函数论,Function theory,nsfc
nsfc24,on functions of multiple complex variables,多复变函数论,On functions of multiple complex variables,nsfc
nsfc25,complex dynamic system,复动力系统,Complex dynamic system,nsfc
nsfc26,on functions of simple and complex variables,单复变函数论,On functions of simple and complex variables,nsfc
nsfc27,sum analysis and wavelet analysis,凋和分析与小波分析,Sum analysis and wavelet analysis,nsfc
nsfc28,function approximation theory,函数逼近论,Function approximation theory,nsfc
nsfc29,functional analysis,泛函分析,functional analysis,nsfc
nsfc30,nonlinear functional analysis,非线性泛函分析,Nonlinear functional analysis,nsfc
nsfc31,operator theory and operator algebra,算子理论与算子代数,Operator theory and operator algebra,nsfc
nsfc32,space theory,空间理论,Space theory,nsfc
nsfc33,ordinary differential equations and dynamical systems,常微分方程与动力系统,Ordinary differential equations and dynamical systems,nsfc
nsfc34,functional differential equation,泛函微分方程,Functional differential equation,nsfc
nsfc35,qualitative theory and stability theory,定性理论与稳定性理论,Qualitative theory and stability theory,nsfc
nsfc36,bifurcation theory and chaos,分支理论与混沌,Bifurcation theory and chaos,nsfc
nsfc37,differential dynamical system and hamiltonian system,微分动力系统与哈密顿系统,Differential dynamical system and Hamiltonian system,nsfc
nsfc38,topological dynamical system and ergodic theory,拓扑动力系统与遍历论,Topological dynamical system and ergodic theory,nsfc
nsfc39,partial differential equation ,偏微分方程,partial differential equation ,nsfc
nsfc40,"partial differential equations in geometry, physics and mechanics",几何、物理和力学中的偏微分方程,"Partial differential equations in geometry, physics and mechanics",nsfc
nsfc41,nonlinear elliptic and nonlinear parabolic equations,非线性椭圆和非线性抛物方程,Nonlinear elliptic and Nonlinear Parabolic Equations,nsfc
nsfc42,mixed and degenerate partial differential equations,混合型、退化型偏微分方程,Mixed and degenerate partial differential equations,nsfc
