:START_ID,:END_ID,:TYPE
person_200138180,org_0,任职
person_200011380,org_1,任职
person_272288,org_0,任职
person_271982,org_1,任职
person_469378,org_2,任职
person_200104608,org_3,任职
person_100134550,org_4,任职
person_525230,org_4,任职
person_100189667,org_5,任职
person_485879,org_6,任职
person_697443,org_7,任职
person_464315,org_8,任职
person_268229,org_8,任职
person_100174154,org_9,任职
person_265142,org_10,任职
person_265373,org_11,任职
person_543765,org_12,任职
person_865258,org_13,任职
person_100114628,org_14,任职
person_100128882,org_15,任职
person_585176,org_16,任职
person_516778,org_17,任职
person_200102178,org_18,任职
person_472543,org_19,任职
person_783747,org_19,任职
person_579947,org_20,任职
person_661299,org_21,任职
person_100113397,org_22,任职
person_743002,org_23,任职
person_819583,org_24,任职
person_100031651,org_25,任职
person_200006448,org_8,任职
person_742974,org_0,任职
person_287851,org_26,任职
person_200081926,org_27,任职
person_898041,org_28,任职
person_661388,org_29,任职
person_100083178,org_1,任职
person_704724,org_1,任职
person_200013459,org_30,任职
person_813994,org_31,任职
person_100014990,org_31,任职
person_726792,org_31,任职
person_100000063,org_31,任职
person_622100,org_32,任职
person_587615,org_33,任职
person_690734,org_34,任职
person_785834,org_19,任职
person_529874,org_12,任职
person_200112664,org_30,任职
person_200010553,org_12,任职
person_507442,org_12,任职
person_583621,org_8,任职
person_704898,org_8,任职
person_465224,org_12,任职
person_735176,org_35,任职
person_670658,org_18,任职
person_582486,org_36,任职
person_760787,org_37,任职
person_449623,org_38,任职
person_814154,org_38,任职
person_335467,org_9,任职
person_679772,org_39,任职
person_402571,org_40,任职
person_460727,org_41,任职
person_457610,org_42,任职
person_200119520,org_43,任职
person_262040,org_44,任职
person_100029582,org_38,任职
person_750321,org_36,任职
person_100045534,org_45,任职
person_723376,org_34,任职
person_200002890,org_34,任职
person_567708,org_34,任职
person_200009157,org_38,任职
person_814173,org_38,任职
person_100296506,org_38,任职
person_100041527,org_38,任职
person_589803,org_46,任职
person_200102711,org_47,任职
person_100211182,org_47,任职
person_897852,org_48,任职
person_200063553,org_12,任职
person_539297,org_49,任职
person_628854,org_2,任职
person_100002096,org_12,任职
person_100242781,org_50,任职
person_100100026,org_26,任职
person_200096734,org_49,任职
person_200149921,org_12,任职
person_820310,org_51,任职
person_818748,org_23,任职
person_579948,org_52,任职
person_744383,org_53,任职
person_625737,org_54,任职
person_100294905,org_55,任职
person_658232,org_56,任职
person_100215224,org_57,任职
person_200055478,org_58,任职
person_819818,org_58,任职
person_810312,org_23,任职
person_610809,org_34,任职
person_100310718,org_59,任职
person_200017588,org_2,任职
person_100034895,org_60,任职
person_607778,org_49,任职
person_200047696,org_31,任职
person_100181696,org_31,任职
person_771246,org_61,任职
person_490814,org_61,任职
person_100018500,org_62,任职
person_200002296,org_63,任职
person_770378,org_63,任职
person_912344,org_64,任职
person_574664,org_65,任职
person_819708,org_6,任职
person_200081431,org_64,任职
person_465451,org_18,任职
person_276770,org_35,任职
person_565233,org_66,任职
person_744387,org_53,任职
person_200105266,org_67,任职
person_200019403,org_0,任职
person_267822,org_50,任职
person_100041054,org_68,任职
person_742268,org_1,任职
person_200126359,org_61,任职
person_815649,org_61,任职
person_367730,org_62,任职
person_333271,org_43,任职
person_558582,org_1,任职
person_804805,org_64,任职
person_261308,org_64,任职
person_457949,org_69,任职
person_524243,org_6,任职
person_628428,org_64,任职
person_899688,org_35,任职
person_100043318,org_35,任职
person_100207693,org_70,任职
person_890810,org_70,任职
person_892312,org_66,任职
person_100032207,org_71,任职
person_719787,org_47,任职
person_745828,org_47,任职
person_200009173,org_38,任职
person_743165,org_72,任职
person_566769,org_73,任职
person_813543,org_31,任职
person_200032900,org_31,任职
person_200008398,org_61,任职
person_537394,org_74,任职
person_100237516,org_75,任职
person_460843,org_76,任职
person_879133,org_64,任职
person_100305473,org_64,任职
person_100143049,org_74,任职
person_810785,org_77,任职
person_807549,org_78,任职
person_585985,org_25,任职
person_745006,org_34,任职
person_306157,org_66,任职
person_100170535,org_39,任职
person_668451,org_47,任职
person_705935,org_8,任职
person_100233295,org_12,任职
person_200116188,org_12,任职
person_200000401,org_79,任职
person_891257,org_80,任职
person_100048845,org_36,任职
person_271897,org_80,任职
person_100173552,org_81,任职
person_694244,org_82,任职
person_200081676,org_47,任职
person_364057,org_83,任职
person_294849,org_84,任职
person_387584,org_85,任职
person_706849,org_86,任职
person_598753,org_87,任职
person_697297,org_42,任职
person_100070604,org_88,任职
person_582467,org_89,任职
person_758493,org_90,任职
person_629103,org_89,任职
person_875257,org_89,任职
person_200116189,org_91,任职
person_200121720,org_92,任职
person_619697,org_16,任职
person_497872,org_4,任职
person_898752,org_4,任职
person_589722,org_93,任职
person_200012435,org_93,任职
person_744938,org_83,任职
person_200145754,org_83,任职
person_200104788,org_94,任职
person_776443,org_42,任职
person_100108459,org_42,任职
person_670623,org_16,任职
person_875042,org_95,任职
person_733647,org_96,任职
person_100054499,org_97,任职
person_200011938,org_92,任职
person_100001419,org_89,任职
person_100000746,org_39,任职
person_200138042,org_4,任职
person_694010,org_98,任职
person_100115003,org_99,任职
person_100083161,org_7,任职
person_770603,org_20,任职
person_200079476,org_100,任职
person_731580,org_45,任职
person_658535,org_101,任职
person_100135456,org_102,任职
person_200005584,org_103,任职
person_200013663,org_66,任职
person_200087181,org_104,任职
person_812548,org_102,任职
person_735537,org_21,任职
person_270942,org_102,任职
person_566686,org_105,任职
person_200000403,org_106,任职
person_100215679,org_27,任职
person_738155,org_107,任职
person_200104164,org_53,任职
person_752171,org_27,任职
person_478680,org_56,任职
person_683956,org_48,任职
person_561959,org_48,任职
person_200007988,org_58,任职
person_471872,org_108,任职
person_100114687,org_59,任职
person_628753,org_109,任职
person_100313070,org_109,任职
person_686396,org_110,任职
person_836463,org_111,任职
person_531678,org_106,任职
person_662073,org_59,任职
person_269355,org_59,任职
person_836698,org_59,任职
person_560439,org_107,任职
person_355649,org_8,任职
person_100006622,org_112,任职
person_660258,org_18,任职
person_818942,org_112,任职
person_694792,org_52,任职
person_890129,org_113,任职
person_100162454,org_114,任职
person_200006352,org_115,任职
person_727674,org_59,任职
person_200081510,org_109,任职
person_100079954,org_109,任职
person_511557,org_40,任职
person_100194977,org_40,任职
person_577600,org_4,任职
person_614838,org_4,任职
person_267128,org_4,任职
person_100103458,org_116,任职
person_587915,org_7,任职
person_836872,org_39,任职
person_659897,org_50,任职
person_888357,org_26,任职
person_100022527,org_117,任职
person_100294124,org_118,任职
person_631216,org_117,任职
person_200019406,org_0,任职
person_100166564,org_27,任职
person_200119475,org_119,任职
person_200084732,org_2,任职
person_200082765,org_120,任职
person_100123875,org_121,任职
person_584081,org_110,任职
person_773559,org_109,任职
person_614846,org_4,任职
person_658312,org_7,任职
person_100169042,org_51,任职
person_661298,org_21,任职
person_459743,org_122,任职
person_573598,org_72,任职
person_200019610,org_21,任职
person_563728,org_123,任职
